page,plot,choice_1,choice_2,score_1,score_2,next_1,next_2,bridge,end,name
1,"You enter the hotel. You are looking forward to the poker match today. Hopefully, you can win enough money to pay some bills.",,,,,,,2,,1
2,The hotel lobby is very crowded.,I should make my way slowly through the lobby and follow the signs to the poker room.,I see a short cut through a construction area. Maybe that way would be faster.,1,10,3,6,,,2
3,"It takes you a while, but you finally get there and sit down at your table with the others.",I better mind my own business and get ready for the match.,I'm going to psych the guys out so they know they have no way to win.,1,10,4,5,,,3
4,You take your time getting into that poker Zen state and ignore the others' banter.,,,,,,,7,,4
5,You stare at them intently and smile evilly just so they know you mean business.,,,,,,,7,,5
6,"You walk through the construction area and you get to a door.  A sign over it reads, \""Do Not Enter.\""",I am going to head back. This wasn't a good idea.,What could be the worst that could happen? I open the door.,1,10,9,8,,,6
7,"You are dealt your hands. You get all junk, but you also have a king and an ace.",I will turn it all in and hope for luck.,I will turn in everything but the king and the ace.,10,1,10,11,,,7
8,"As you open the door, you glance out the window. Out there is space. Sometimes you forget you are on a space station. \""Blam!\"", rings the decompression bell. You see a row of spacesuits across the hall.",I reach for a spacesuit. ,"If I run, I can probably make it to the door before the air vents out.",1,10,12,13,,,8
9,"It takes you a while, but you finally get there and sit down.",,,,,,,7,,9
10,"You have a pair, but that isn't enough to beat the other players. Fortunately, this was the warm-up round so you don't lose any money.",,,,,,,14,,10
11,"Not bad, you got a full house and beat the others. Unfortunately, this was the warm-up round, so you don't win any money.",,,,,,,14,,11
12,"That was a smart choice, otherwise you might have died. You walk through the door, take off your space suit and head back through the lobby to the poker room.",,,,,,,14,,12
13,"You just barely make it into the doorway. Panting, you head back through the lobby into the poker room.",,,,,,,14,,13
14,"It is the end of the warm-up round, and you decide to join the high-stakes round.",,,,,,,15,,14
15,"You have plenty of money to spend. Well, not much. If you lose this round you are nearly broke. You have $1,100 with you.","I am going to bet $1,000.",I should only bet $100.,10,1,16,17,,,15
16,"Luckily, you have a good hand. It has two pairs. Then you see one of the other players pulling some cards from his jacket.","I had better speak up about the cheating. They may cancel the match, but I will get my money back.","If I expose him, they may cancel the match. I better keep quiet. Since I know he is cheating, I may be able to counter his moves, or win back my losses in the next few rounds.",1,10,18,19,,,16
17,"You have a junk hand, so you had better…",I'll bluff them into thinking I have a better hand than I really do.,I will trade in my cards for new ones.,10,1,20,21,,,17
18,"You point at the man, and say that he is cheating. They check his hand and all the other hands and find that there are 5 aces, and they will have to cancel the match. You will get your money back, though.",,,,,,,22,,18
19,"When the hands are revealed, one guy has 3 aces, and the cheater has 2 aces. You did not think another guy would get so lucky with aces. They still have to call off the match.",,,,,,,22,,19
20,"Your bluff works. You are a very convincing actor. Good thing you took those drama classes in school. As a result, you win $4,000.",,,,,,,23,,20
21,"And your hand is still junk. Luckily, you only bet $100.",,,,,,,24,,21
22,You decide to follow the cheater because you are so angry they had to cancel the match. You lose sight of him at an intersection.,He must have gone into the shopping complex.,I think he went onto the tram.,0,0,27,26,,,22
23,"Now that you have that much cash, what should you do with it?",I am going to deposit it into the bank.,"You know you have bills to pay, but it is time for a shopping spree.",1,10,29,25,,,23
24,"Well, this hasn't been the luckiest of days, but you still have some money.",I am going to head to the bank to deposit what I have left.,"You know you have bills to pay, but a shopping spree would pick up your mood. You head for the shopping complex.",1,10,29,25,,,24
25,"You spend more money than you should, and finally decide to head home.",I will go get a taxi and head back home.,I will head to the tram. I think it will get me home quickly enough.,0,0,30,34,,,25
26,"As you walk onto the tram, you see the cheater sitting in the back. At the next stop, he gets off. Your anger has dissipated, and you stay on the tram. After a few stops, you realize you are far from home.","I am going to stay on the tram, since it makes a large circle. I will eventually get back to my stop.","I will get off the tram and hope I can find a taxi. I don't know if there are taxis in this area, but that will be a faster way home.",1,10,32,30,,,26
27,"As you walk through the shopping complex, you gaze into the windows, marveling at all the merchandise. Suddenly you see the cheater's reflection in the window.",I am going to keep following him.,There is a great looking restaurant across the street. I would rather go there than keep following him.,10,1,28,31,,,27
28,"You eventually lose sight of him. Now you are far from home and can't find a taxi. You see a hotel on the next block, and head there.",,,,,,,33,,28
